algoritmo,step_size,iter,time,loss,gap,spars,mse
FW,diminishing,213,0.027870893478393555,59.600613455143446,0.5128672976463022,16,0.19195044591028484
FW,diminishing,214,0.027991771697998047,59.60028925477965,0.7498595053723918,16,0.19194940178672995
FW,diminishing,215,0.028128862380981445,59.60023665134128,0.3417834128049151,16,0.1919492323714695
FW,diminishing,216,0.028273820877075195,59.60004100534471,0.3478473396506061,16,0.19194860227164157
FW,diminishing,217,0.028416872024536133,59.59983562173646,0.4269615360741952,16,0.19194794081074545
FW,diminishing,218,0.028558731079101562,59.59971659585626,0.40447639218059805,16,0.1919475574745773
FW,diminishing,219,0.028743982315063477,59.599542391296936,0.4268543468619441,16,0.1919469964292977
FW,diminishing,220,0.028973817825317383,59.59886507465305,0.7134747156322305,16,0.1919448150552433
FW,diminishing,221,0.02912282943725586,59.598794089628754,0.30579831267366586,16,0.19194458644002818
FW,diminishing,222,0.02926492691040039,59.59868462931688,0.39413761159011784,16,0.19194423391084342
FW,diminishing,223,0.029390811920166016,59.598244951411715,0.6048051334025288,16,0.1919428178789427
FW,diminishing,224,0.029498815536499023,59.598202956190214,0.45925720613707455,16,0.19194268262863193
FW,diminishing,225,0.02962183952331543,59.59759528692547,0.8578655583680685,16,0.19194072556175673
FW,diminishing,226,0.029747962951660156,59.597198270373354,0.6187560950006485,16,0.19193944692551804
FW,diminishing,227,0.02987980842590332,59.59677432690421,0.49405395949072783,16,0.1919380815681295
FW,diminishing,228,0.03000187873840332,59.59640038603119,0.508362305963793,16,0.19193687724969788
FW,diminishing,229,0.03012371063232422,59.59609505780732,0.6062052157486519,16,0.1919358939059817
FW,diminishing,230,0.030246973037719727,59.59593146671665,0.294623284666244,16,0.1919353670425657
FW,diminishing,231,0.03038477897644043,59.59572188853417,0.3916155265340535,16,0.19193469207257383
FW,diminishing,232,0.030522823333740234,59.595636300307284,0.31120076432429755,16,0.19193441642611042
FW,diminishing,233,0.030647754669189453,59.595241100095414,0.5149536770460159,16,0.19193314363959876
FW,diminishing,234,0.030798912048339844,59.595124470044865,0.6143291099890433,16,0.19193276801946815
FW,diminishing,235,0.030942916870117188,59.594949723292856,0.358576445907417,16,0.1919322052279963
FW,diminishing,236,0.031064748764038086,59.5947538914905,0.41807372792574427,16,0.19193157452976006
FW,diminishing,237,0.031189680099487305,59.59402983900554,0.7013615435111262,16,0.191929242637699
FW,diminishing,238,0.03130984306335449,59.59383872282162,0.37764283681227084,16,0.1919286271266397
